,strain,pathway,genus,phylum,class,order,family,BUT,PRO
44,Aeromonas trota,,Aeromonas,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,0,0
45,Aeromonas veronii,,Aeromonas,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,0,0
46,Afipia birgiae,,Afipia,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,0,0
47,Aggregatibacter actinomycetemcomitans,,Aggregatibacter,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,0,0
48,Aggregatibacter segnis,,Aggregatibacter,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,0,0
49,Agrobacterium tumefaciens,,Agrobacterium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,0,0
50,Agrococcus jejuensis,,Agrococcus,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
51,Agrococcus terreus,,Agrococcus,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,0,0
52,Akkermansia muciniphila,SP,Akkermansia,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,0,1
53,Alcaligenes faecalis,,Alcaligenes,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,0,0
54,Aliagarivorans marinus,,Aliagarivorans,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,0,0
55,Alistipes finegoldii,SP,Alistipes,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,0,1
56,Alistipes indistinctus YIT 12060 MAF 2,SP,Alistipes,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,0,1
57,Alistipes obesi,SP,Alistipes,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,0,1
58,Alistipes onderdonkii DSM 19147 MAF 2,SP,Alistipes,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,0,1
59,Alistipes putredinis DSM 17216 MAF 2,Lys,Alistipes,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,1,0
60,Alistipes putredinis DSM 17216 MAF 2,SP,Alistipes,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,0,1
61,Alistipes senegalensis JC50 MAF 2,SP,Alistipes,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,0,1
62,Alistipes shahii WAL 8301 MAF 2,SP,Alistipes,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,0,1
63,Alistipes timonensis,SP,Alistipes,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,0,1
64,Alistipes-ihumii-AP11-MAF-2,,Alistipes,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,0,0
65,Alistipes-indistinctus-YIT-12060-MAF-2,,Alistipes,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,0,0
66,Alistipes-onderdonkii-DSM-19147-MAF-2,,Alistipes,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,0,0
67,Alistipes-putredinis-DSM-17216-MAF-2,,Alistipes,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,0,0
68,Alistipes-senegalensis-JC50-MAF-2,,Alistipes,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,0,0
69,Alistipes-shahii-WAL-8301-MAF-2,,Alistipes,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,0,0
70,Allisonella histaminiformans,,Allisonella,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,0,0
71,Alloprevotella tannerae,,Alloprevotella,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,0,0
72,Alloscardovia omnicolens,,Alloscardovia,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
73,Anaerobiospirillum succiniciproducens,,Anaerobiospirillum,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,0,0
74,Anaerobiospirillum thomasii,,Anaerobiospirillum,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,0,0
75,Anaerobutyricum hallii,Ace,Anaerobutyricum,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,1,0
76,Anaerococcus hydrogenalis,Ace,Anaerococcus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,1,0
77,Anaerococcus murdochii,Ace,Anaerococcus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,1,0
78,Anaerococcus obesiensis,Ace,Anaerococcus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,1,0
79,Anaerococcus octavius,Ace,Anaerococcus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,1,0
80,Anaerococcus prevotii,Ace,Anaerococcus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,1,0
81,Anaerococcus senegalensis,Ace,Anaerococcus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,1,0
82,Anaerococcus vaginalis,Ace,Anaerococcus,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,1,0
83,Anaerofustis stercorihominis,4Ami,Anaerofustis,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,1,0
84,Anaerorhabdus furcosa,,Anaerorhabdus,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,0,0
85,Anaerostipes butyraticus,Ace,Anaerostipes,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,1,0
86,Anaerostipes caccae DSM 14662 MAF 2,4Ami,Anaerostipes,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,1,0
87,Anaerostipes coli,Ace,Anaerostipes,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,1,0
88,Anaerostipes hadrus,Ace,Anaerostipes,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,1,0
89,Anaerostipes-caccae-DSM-14662-MAF-2,,Anaerostipes,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
90,Anaerotignum propionicum,Acr,Anaerotignum,,,,,0,1
91,Anaerotruncus colihominis DSM 17241 MAF 2,Ace,Anaerotruncus,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,1,0
92,Anaerotruncus-colihominis-DSM-17241-MAF-2,,Anaerotruncus,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,0,0
93,Ancylobacter polymorphus,,Ancylobacter,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,0,0
94,Aneurinibacillus aneurinilyticus,Ace,Aneurinibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,1,0
95,Aneurinibacillus migulanus,Ace,Aneurinibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,1,0
96,Aquabacterium commune,,Aquabacterium,Pseudomonadota,Betaproteobacteria,Burkholderiales,,0,0
97,Aquabacterium parvum,,Aquabacterium,Pseudomonadota,Betaproteobacteria,Burkholderiales,,0,0
98,Aquincola tertiaricarbonis,,Aquincola,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,0,0
99,Arcanobacterium haemolyticum,,Arcanobacterium,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,0,0
100,Arcanobacterium pyogenes,,Arcanobacterium,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,0,0
101,Arcobacter butzleri,,Arcobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,0,0
102,Arcobacter cryaerophilus,,Arcobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,0,0
103,Arthrobacter albus,,Arthrobacter,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
104,Arthrobacter castelli,,Arthrobacter,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
105,Arthrobacter globiformis,,Arthrobacter,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
106,Arthrobacter oxydans,,Arthrobacter,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
107,Arthrobacter polychromogenes,,Arthrobacter,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,0,0
108,Atopobium minutum,,Atopobium,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,0,0
109,Atopobium parvulum,,Atopobium,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,0,0
110,Atopobium rimae,,Atopobium,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,0,0
111,Aurantimonas altamirensis,,Aurantimonas,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,0,0
112,Aureimonas ureilytica,,Aureimonas,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,0,0
113,Bacillus altitudinis,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
114,Bacillus amyloliquefaciens,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
115,Bacillus arsenicus,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
116,Bacillus atrophaeus,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
117,Bacillus badius,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
118,Bacillus beijingensis,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
119,Bacillus benzoevorans,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
120,Bacillus cereus,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
121,Bacillus clausii,,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,0,0
122,Bacillus endophyticus,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
123,Bacillus firmus,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
124,Bacillus flexus,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
125,Bacillus fordii,,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,0,0
126,Bacillus halodurans,,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,0,0
127,Bacillus idriensis,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
128,Bacillus infantis,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
129,Bacillus licheniformis,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
130,Bacillus marisflavi,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
131,Bacillus marseilloanorexicus,,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,0,0
132,Bacillus massiliosenegalensis,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
133,Bacillus mojavensis,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
134,Bacillus mycoides,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
135,Bacillus nealsonii,,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,0,0
136,Bacillus niacini,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
137,Bacillus pumilus,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
138,Bacillus schlegelii,,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,0,0
139,Bacillus simplex,,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,0,0
140,Bacillus siralis,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
141,Bacillus sonorensis,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
142,Bacillus subtilis,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
143,Bacillus thermoamylovorans,,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,0,0
144,Bacillus thuringiensis,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
145,Bacillus timonensis,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
146,Bacillus vallismortis,Ace,Bacillus,Bacillota,Bacilli,Bacillales,Bacillaceae,1,0
147,Bacteroides acidifaciens,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
148,Bacteroides barnesiae,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
149,Bacteroides caccae ATCC 43185 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
150,Bacteroides cellulosilyticus DSM 14838 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
151,Bacteroides clarus,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
152,Bacteroides coagulans,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
153,Bacteroides coprocola,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
154,Bacteroides coprophilus DSM 18228 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
155,Bacteroides dorei 5 1 36 D4 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
156,Bacteroides dorei DSM 17855 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
157,Bacteroides eggerthii DSM 20697 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
158,Bacteroides faecichinchillae,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
159,Bacteroides faecis,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
160,Bacteroides finegoldii DSM 17565 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
161,Bacteroides fluxus,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
162,Bacteroides fragilis,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
163,Bacteroides fragilis 2 1 16 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
164,Bacteroides fragilis 3 1 12 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
165,Bacteroides gallinarum,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
166,Bacteroides graminisolvens,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
167,Bacteroides intestinalis DSM 17393 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
168,Bacteroides massiliensis,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
169,Bacteroides nordii,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
170,Bacteroides oleiciplenus,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
171,Bacteroides ovatus ATCC 8483 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
172,Bacteroides plebeius DSM 17135 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
173,Bacteroides pyogenes,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
174,Bacteroides rodentium JCM 16496 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
175,Bacteroides salanitronis,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
176,Bacteroides salyersiae,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
177,Bacteroides sartorii,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
178,Bacteroides sp 3 1 19 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
179,Bacteroides sp 9 1 42FAA MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
180,Bacteroides sp D2 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
181,Bacteroides stercorirosoris,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
182,Bacteroides stercoris ATCC 43183 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
183,Bacteroides thetaiotaomicron,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
184,Bacteroides thetaiotaomicron 1 1 6 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
185,Bacteroides thetaiotaomicron VPI 5482 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
186,Bacteroides timonensis,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
187,Bacteroides uniformis ATCC 8492 MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
188,Bacteroides ureolyticus,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
189,Bacteroides vulgatus,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
190,Bacteroides xylanisolvens SD CC 1b MAF 2,SP,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,1
191,Bacteroides-caccae-ATCC-43185-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
192,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
193,Bacteroides-coprophilus-DSM-18228-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
194,Bacteroides-dorei-5-1-36-D4-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
195,Bacteroides-dorei-DSM-17855-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
196,Bacteroides-eggerthii-DSM-20697-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
197,Bacteroides-finegoldii-DSM-17565-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
198,Bacteroides-fragilis-2-1-16-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
199,Bacteroides-fragilis-3-1-12-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
200,Bacteroides-intestinalis-DSM-17393-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
201,Bacteroides-ovatus-ATCC-8483-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
202,Bacteroides-pectinophilus-ATCC-43243-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
203,Bacteroides-plebeius-DSM-17135-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
204,Bacteroides-rodentium-JCM-16496-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
205,Bacteroides-sp-3-1-19-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
206,Bacteroides-sp-9-1-42FAA-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
207,Bacteroides-sp-D2-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
208,Bacteroides-stercoris-ATCC-43183-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
209,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
210,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
211,Bacteroides-uniformis-ATCC-8492-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
212,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,,Bacteroides,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,0,0
213,Barnesiella intestinihominis,SP,Barnesiella,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,0,1
214,Bavariicoccus seileri,,Bavariicoccus,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,0,0
215,Bifidobacterium adolescentis,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
216,Bifidobacterium angulatum,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
217,Bifidobacterium animalis,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
218,Bifidobacterium bifidum,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
